S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+00,2.500000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,3.500000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,1.500000000000000000e+00,2.500000000000000000e+00,2.000000000000000000e+00,4.500000000000000000e+00,3.500000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
2.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,3.333333333333333703e-01,6.666666666666667407e-01,2.666666666666666963e+00,2.166666666666666963e+00,4.000000000000000000e+00,3.500000000000000000e+00,1.333333333333333481e+00,2.333333333333333481e+00,4.000000000000000000e+00,4.000000000000000000e+00,2.333333333333333481e+00,3.833333333333333481e+00
2.000000000000000000e+00,1.500000000000000000e+00,3.333333333333333703e-01,0.000000000000000000e+00,6.666666666666667407e-01,2.666666666666666963e+00,2.166666666666666963e+00,4.333333333333333925e+00,3.833333333333333481e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.166666666666666963e+00,4.333333333333333037e+00,2.000000000000000000e+00,3.500000000000000000e+00
2.000000000000000000e+00,1.500000000000000000e+00,6.666666666666667407e-01,6.666666666666667407e-01,0.000000000000000000e+00,2.333333333333333481e+00,1.833333333333333481e+00,4.333333333333333037e+00,3.833333333333333481e+00,1.666666666666666741e+00,2.666666666666666963e+00,3.833333333333333481e+00,4.666666666666666963e+00,2.666666666666666963e+00,4.000000000000000000e+00
2.500000000000000000e+00,2.500000000000000000e+00,2.666666666666666963e+00,2.666666666666666963e+00,2.333333333333333481e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e+00,2.333333333333333481e+00,2.000000000000000000e+00,2.500000000000000000e+00,3.166666666666666963e+00,2.000000000000000000e+00,3.166666666666666963e+00
2.500000000000000000e+00,2.000000000000000000e+00,2.166666666666666963e+00,2.166666666666666963e+00,1.833333333333333481e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,2.333333333333333481e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.666666666666666963e+00,2.000000000000000000e+00,3.166666666666666963e+00
4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+00,4.333333333333333925e+00,4.333333333333333037e+00,2.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.333333333333333925e+00,3.666666666666666963e+00,1.500000000000000000e+00,1.333333333333333481e+00,3.666666666666666963e+00,3.833333333333333481e+00
4.000000000000000000e+00,3.500000000000000000e+00,3.500000000000000000e+00,3.833333333333333481e+00,3.833333333333333481e+00,2.500000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.333333333333333925e+00,3.666666666666666963e+00,2.000000000000000000e+00,2.333333333333333481e+00,3.666666666666666963e+00,3.833333333333333481e+00
2.000000000000000000e+00,2.000000000000000000e+00,1.333333333333333481e+00,1.000000000000000000e+00,1.666666666666666741e+00,2.333333333333333481e+00,2.333333333333333481e+00,4.333333333333333925e+00,4.333333333333333925e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.333333333333333925e+00,4.333333333333333037e+00,2.000000000000000000e+00,4.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.333333333333333481e+00,2.000000000000000000e+00,2.666666666666666963e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.666666666666666963e+00,3.666666666666666963e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.666666666666666963e+00,3.666666666666666963e+00,5.000000000000000000e-01,3.333333333333333481e+00
3.500000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,4.166666666666666963e+00,3.833333333333333481e+00,2.500000000000000000e+00,2.000000000000000000e+00,1.500000000000000000e+00,2.000000000000000000e+00,4.333333333333333925e+00,3.666666666666666963e+00,0.000000000000000000e+00,2.833333333333333925e+00,3.666666666666666963e+00,3.833333333333333481e+00
4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+00,4.333333333333333037e+00,4.666666666666666963e+00,3.166666666666666963e+00,3.666666666666666963e+00,1.333333333333333481e+00,2.333333333333333481e+00,4.333333333333333037e+00,3.666666666666666963e+00,2.833333333333333925e+00,0.000000000000000000e+00,3.666666666666666963e+00,4.166666666666666963e+00
3.000000000000000000e+00,3.000000000000000000e+00,2.333333333333333481e+00,2.000000000000000000e+00,2.666666666666666963e+00,2.000000000000000000e+00,2.000000000000000000e+00,3.666666666666666963e+00,3.666666666666666963e+00,2.000000000000000000e+00,5.000000000000000000e-01,3.666666666666666963e+00,3.666666666666666963e+00,0.000000000000000000e+00,3.333333333333333481e+00
4.000000000000000000e+00,4.000000000000000000e+00,3.833333333333333481e+00,3.500000000000000000e+00,4.000000000000000000e+00,3.166666666666666963e+00,3.166666666666666963e+00,3.833333333333333481e+00,3.833333333333333481e+00,4.000000000000000000e+00,3.333333333333333481e+00,3.833333333333333481e+00,4.166666666666666963e+00,3.333333333333333481e+00,0.000000000000000000e+00
